id,date_account_created,timestamp_first_active,date_first_booking,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
i4ibg6hdkb,2014-05-08,20140508010903,2014-05-08,MALE,,basic,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Safari,AU
x22igsy5xl,2012-06-23,20120623235637,2012-06-24,FEMALE,,basic,0,en,sem-non-brand,vast,omg,Web,Windows Desktop,IE,AU
5m97yjzhl1,2013-11-21,20131121041307,2013-12-07,MALE,24.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,AU
t4wk57eon2,2012-08-06,20120806175524,2012-08-10,MALE,27.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,AU
poc1qeu2ao,2014-03-29,20140329031623,2014-03-30,FEMALE,24.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,AU
d4qft3c1ib,2012-07-14,20120714001217,2012-10-03,FEMALE,37.0,basic,0,en,direct,direct,untracked,Web,iPad,Mobile Safari,AU
5al1hwguzc,2014-05-28,20140528225639,2014-06-24,-unknown-,,basic,0,en,direct,direct,untracked,Web,iPad,Mobile Safari,AU
zl3aimllzi,2013-12-17,20131217041741,2013-12-18,-unknown-,36.0,basic,25,en,direct,direct,omg,iOS,Mac Desktop,Safari,AU
rnhrxefft6,2012-08-12,20120812212834,2012-09-01,MALE,43.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,AU
zxfjr6hhxo,2014-02-23,20140223211117,2014-02-23,MALE,33.0,facebook,0,en,seo,google,untracked,Web,Mac Desktop,Firefox,AU
nyuvzuxm15,2010-12-23,20101223071120,2010-12-26,FEMALE,,basic,2,en,seo,google,,Web,Other/Unknown,-unknown-,AU
4746s3oefi,2013-08-08,20130808203057,2013-09-06,FEMALE,30.0,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,AU
i9igg3ki21,2014-01-25,20140125235248,2014-01-26,MALE,29.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,AU
u69w3mu00f,2012-06-26,20120626195452,2012-10-20,FEMALE,73.0,basic,3,en,direct,direct,linked,Web,Windows Desktop,IE,AU
knyxm396at,2013-08-05,20130805052347,2014-01-20,MALE,29.0,facebook,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Safari,AU
lixcbonk72,2014-06-19,20140619031428,2014-11-29,MALE,27.0,facebook,0,en,direct,direct,linked,Web,iPhone,Mobile Safari,AU
dbkeg7u7tu,2014-05-03,20140503092803,2014-05-03,MALE,23.0,facebook,0,en,seo,google,linked,Web,Mac Desktop,Chrome,AU
p38dwr3r5r,2012-09-25,20120925221720,2012-10-01,-unknown-,,basic,0,en,direct,direct,linked,Web,iPad,Mobile Safari,AU
wss4tpsgor,2014-02-21,20140221184506,2014-02-22,MALE,30.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,AU
zvdun57hd0,2012-02-15,20120215115207,2012-02-17,MALE,34.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,AU
mii5kaea6e,2014-05-28,20140528180859,2014-06-02,-unknown-,,basic,0,en,seo,bing,linked,Web,Windows Desktop,Firefox,AU
8amqfhxpi4,2014-01-29,20140129000805,2014-01-29,-unknown-,61.0,basic,0,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,AU
665w6nwhbv,2013-12-06,20131206225356,2013-12-09,FEMALE,36.0,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,AU
xme7720p1m,2013-07-24,20130724065438,2014-04-24,MALE,22.0,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,AU
f9p32xfhya,2013-04-24,20130424222713,2013-04-25,FEMALE,52.0,facebook,0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,AU
ufql1b9dd6,2010-10-02,20101002235537,2010-10-09,-unknown-,33.0,basic,2,en,direct,direct,,Web,Other/Unknown,-unknown-,AU
lloplxseka,2013-11-17,20131117073242,2013-11-17,FEMALE,30.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,AU
hfvtfjxpkv,2013-11-25,20131125195205,2013-11-26,FEMALE,28.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,AU
